Step	t	Current temperature	KineticEnergy	Potential Energy	Internal Energy	Pressure	Density	RgH	RgP	RgAll	Bond length Average
426000	42.600000	0.101088	8.339767	-149.217159	-140.877392	0.000004	0.000040	1.756363	1.895684	1.878964	1.000000
429000	42.900000	0.100032	8.252678	-148.907789	-140.655111	0.000004	0.000040	1.755248	1.885731	1.870861	1.000000
431000	43.100000	0.099363	8.197456	-150.249245	-142.051788	0.000004	0.000040	1.754681	1.889171	1.872638	1.000000
436000	43.600000	0.098643	8.138052	-150.998100	-142.860049	0.000004	0.000040	1.715745	1.884780	1.857235	1.000000
437000	43.700000	0.099341	8.195624	-150.144160	-141.948536	0.000004	0.000040	1.715461	1.871493	1.849792	1.000000
440000	44.000000	0.102948	8.493175	-148.987729	-140.494554	0.000004	0.000040	1.711428	1.868089	1.850852	1.000000
441000	44.100000	0.100487	8.290212	-148.404628	-140.114415	0.000004	0.000040	1.716924	1.869807	1.854620	1.000000
443000	44.300000	0.101097	8.340494	-148.854037	-140.513544	0.000004	0.000040	1.720114	1.868630	1.854487	1.000000
444000	44.400000	0.098078	8.091463	-146.480038	-138.388576	0.000004	0.000040	1.715744	1.868172	1.851557	1.000000
445000	44.500000	0.103242	8.517464	-149.445331	-140.927867	0.000004	0.000040	1.717279	1.867602	1.851030	1.000000
447000	44.700000	0.102195	8.431073	-150.474093	-142.043020	0.000004	0.000040	1.720222	1.873766	1.857670	1.000000
449000	44.900000	0.097955	8.081277	-147.843503	-139.762225	0.000004	0.000040	1.715947	1.877003	1.858798	1.000000
450000	45.000000	0.100825	8.318032	-149.408676	-141.090644	0.000004	0.000040	1.720232	1.876423	1.859649	1.000000
451000	45.100000	0.100012	8.250963	-148.926292	-140.675329	0.000004	0.000040	1.723093	1.874065	1.858991	1.000000
452000	45.200000	0.101559	8.378583	-150.072334	-141.693751	0.000004	0.000040	1.721777	1.871484	1.856397	1.000000
453000	45.300000	0.099178	8.182175	-149.458117	-141.275942	0.000004	0.000040	1.719230	1.868631	1.852856	1.000000
458000	45.800000	0.097371	8.033136	-150.736981	-142.703845	0.000004	0.000040	1.712197	1.866632	1.848968	1.000000
459000	45.900000	0.098400	8.118040	-147.710492	-139.592452	0.000004	0.000040	1.714016	1.876737	1.855248	1.000000
